filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,total_umi_count,duplication_rate,bc_not_found,perc_bc_not_found,skipped_reads,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-CH3-1-A1-rep2_S13_umi_dedup_fine_grained_idx.csv,CANCERspecific-CH3-1-A1-rep2_S13_umi_dedup_fine_grained_idx.csv,CANCERspecific-CH3-1-A1-rep2_S13,CANCERspecific-CH3-1-A1,rep2,rep2,CANCERspecific-CH3-1-A1-rep2,31479676,29826900,4292596,0.14391693404276,0,0,16051210,1844381,0.143408899809766,122569,792127,8027247,11016613
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-Ch3-1-A2-rep1_S7_umi_dedup_fine_grained_idx.csv,CANCERspecific-Ch3-1-A2-rep1_S7_umi_dedup_fine_grained_idx.csv,CANCERspecific-Ch3-1-A2-rep1_S7,CANCERspecific-Ch3-1-A2,rep1,rep1,CANCERspecific-Ch3-1-A2-rep1,13924595,12394229,4124946,0.332811827181828,0,0,6938603,844936,0.165911206236378,48012,314914,3015716,4247764
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-Ch3-1-A2-rep2_S8_umi_dedup_fine_grained_idx.csv,CANCERspecific-Ch3-1-A2-rep2_S8_umi_dedup_fine_grained_idx.csv,CANCERspecific-Ch3-1-A2-rep2_S8,CANCERspecific-Ch3-1-A2,rep2,rep2,CANCERspecific-Ch3-1-A2-rep2,6986588,6175941,2542446,0.411669411997297,0,0,3497874,440725,0.175094385498065,14829,146167,1475598,2076346
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-FUBP1-B12-rep1_S3_umi_dedup_fine_grained_idx.csv,CANCERspecific-FUBP1-B12-rep1_S3_umi_dedup_fine_grained_idx.csv,CANCERspecific-FUBP1-B12-rep1_S3,CANCERspecific-FUBP1-B12,rep1,rep1,CANCERspecific-FUBP1-B12-rep1,13557597,12126852,2966365,0.244611297309475,0,0,6712759,832236,0.164367426084271,31243,319584,3091369,4231030
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-FUBP1-B12-rep2_S4_umi_dedup_fine_grained_idx.csv,CANCERspecific-FUBP1-B12-rep2_S4_umi_dedup_fine_grained_idx.csv,CANCERspecific-FUBP1-B12-rep2_S4,CANCERspecific-FUBP1-B12,rep2,rep2,CANCERspecific-FUBP1-B12-rep2,45647984,40047477,4622337,0.115421428421071,0,0,19340054,3686865,0.193359091364651,151567,1488405,10642448,15380586
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-FUBP1-C8-rep1_S5_umi_dedup_fine_grained_idx.csv,CANCERspecific-FUBP1-C8-rep1_S5_umi_dedup_fine_grained_idx.csv,CANCERspecific-FUBP1-C8-rep1_S5,CANCERspecific-FUBP1-C8,rep1,rep1,CANCERspecific-FUBP1-C8-rep1,36135461,31869833,3504580,0.109965433455519,0,0,16485023,2634615,0.18381874037645,69235,982896,8376600,11698064
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-FUBP1-C8-rep2_S6_umi_dedup_fine_grained_idx.csv,CANCERspecific-FUBP1-C8-rep2_S6_umi_dedup_fine_grained_idx.csv,CANCERspecific-FUBP1-C8-rep2_S6,CANCERspecific-FUBP1-C8,rep2,rep2,CANCERspecific-FUBP1-C8-rep2,10335067,9215583,1462611,0.158710631763612,0,0,5194981,607616,0.161062454059576,18375,229678,2303621,3164933
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-RBM10-C8-rep1_S1_umi_dedup_fine_grained_idx.csv,CANCERspecific-RBM10-C8-rep1_S1_umi_dedup_fine_grained_idx.csv,CANCERspecific-RBM10-C8-rep1_S1,CANCERspecific-RBM10-C8,rep1,rep1,CANCERspecific-RBM10-C8-rep1,11545311,10360147,6925640,0.668488584187078,0,0,5483418,739712,0.162701044265536,32658,297622,2921781,3806737
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-RBM10-C8-rep2_S2_umi_dedup_fine_grained_idx.csv,CANCERspecific-RBM10-C8-rep2_S2_umi_dedup_fine_grained_idx.csv,CANCERspecific-RBM10-C8-rep2_S2,CANCERspecific-RBM10-C8,rep2,rep2,CANCERspecific-RBM10-C8-rep2,7391795,6565151,4725845,0.719837974785348,0,0,3265811,547238,0.177240952901941,17689,194114,1783348,2540299
/mnt/dawnccle2/processed_data/reprocess_250221/denovoR2_cancer//CANCERspecific-RBM10-G4-rep1_S1_umi_dedup_fine_grained_idx.csv,CANCERspecific-RBM10-G4-rep1_S1_umi_dedup_fine_grained_idx.csv,CANCERspecific-RBM10-G4-rep1_S1,CANCERspecific-RBM10-G4,rep1,rep1,CANCERspecific-RBM10-G4-rep1,16092498,14989438,3535807,0.235886562258038,0,0,8116590,989092,0.153980372675681,37679,411675,4038140,5434402
