filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,total_umi_count,duplication_rate,bc_not_found,perc_bc_not_found,skipped_reads,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon
/mnt/dawnccle2/processed_data/reprocess_250221/260226_K700E//lib47k_BJ-rep1_S7_umi_dedup_fine_grained_idx.csv,lib47k_BJ-rep1_S7_umi_dedup_fine_grained_idx.csv,lib47k_BJ-rep1_S7,lib47k_BJ,rep1,rep1,lib47k_BJ-rep1,29324190,26042552,1195902,0.045921075630376,986946,0.0336563772093961,8649012,3102470,0.196492923652973,405008,1199312,12036589,12686750
/mnt/dawnccle2/processed_data/reprocess_250221/260226_K700E//lib47k_BJ-rep2_S8_umi_dedup_fine_grained_idx.csv,lib47k_BJ-rep2_S8_umi_dedup_fine_grained_idx.csv,lib47k_BJ-rep2_S8,lib47k_BJ,rep2,rep2,lib47k_BJ-rep2,28749871,25631753,920830,0.0359253617963625,986074,0.0342983799822963,8754151,3005711,0.195869710268072,380485,1151656,11702701,12339750
/mnt/dawnccle2/processed_data/reprocess_250221/260226_K700E//lib47k_BJ-rep3_S9_umi_dedup_fine_grained_idx.csv,lib47k_BJ-rep3_S9_umi_dedup_fine_grained_idx.csv,lib47k_BJ-rep3_S9,lib47k_BJ,rep3,rep3,lib47k_BJ-rep3,19745342,17519774,804349,0.0459109232801747,680660,0.0344719276070275,5992077,2051651,0.195700346301641,251555,792507,8007776,8431984
/mnt/dawnccle2/processed_data/reprocess_250221/260226_K700E//lib47k_K562_K700E-rep1_S4_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700E-rep1_S4_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700E-rep1_S4,lib47k_K562_K700E,rep1,rep1,lib47k_K562_K700E-rep1,36852027,32717680,10451996,0.31946018177328,1218142,0.0330549524453567,7272726,4314872,0.181318535396949,396614,1251148,18664174,19482320
/mnt/dawnccle2/processed_data/reprocess_250221/260226_K700E//lib47k_K562_K700E-rep2_S5_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700E-rep2_S5_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700E-rep2_S5,lib47k_K562_K700E,rep2,rep2,lib47k_K562_K700E-rep2,27853360,24762067,7333282,0.296149832726,914089,0.0328179077856316,5687438,3256029,0.182127408174427,285582,911293,14004464,14621725
/mnt/dawnccle2/processed_data/reprocess_250221/260226_K700E//lib47k_K562_K700E-rep3_S6_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700E-rep3_S6_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700E-rep3_S6,lib47k_K562_K700E,rep3,rep3,lib47k_K562_K700E-rep3,23704838,21033702,8582570,0.408038965275823,779032,0.0328638398625631,4602346,2773929,0.181246966616512,283201,843463,12002026,12530763
/mnt/dawnccle2/processed_data/reprocess_250221/260226_K700E//lib47k_K562_K700K-rep2_S2_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700K-rep2_S2_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700K-rep2_S2,lib47k_K562_K700K,rep2,rep2,lib47k_K562_K700K-rep2,35750912,31865807,6152212,0.193066254371025,1177394,0.0329332577585713,8553326,3979016,0.18399951463907,585295,1102042,16874154,17646128
/mnt/dawnccle2/processed_data/reprocess_250221/260226_K700E//lib47k_K562_K700K-rep3_S3_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700K-rep3_S3_umi_dedup_fine_grained_idx.csv,lib47k_K562_K700K-rep3_S3,lib47k_K562_K700K,rep3,rep3,lib47k_K562_K700K-rep3,33615442,29943551,6913441,0.230882469483997,1100340,0.032733170666029,8337517,3668656,0.183798218427968,601825,1043972,15578446,16291581
