filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,bc_not_found,perc_bc_not_found,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon,skipped_reads
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//RBM10_G4_splicelib_1_S19_umi_dedup_fine_grained_idx.csv,RBM10_G4_splicelib_1_S19_umi_dedup_fine_grained_idx.csv,RBM10_G4_splicelib_1_S19,RBM10_G4,rep1,rep1,RBM10_G4-rep1,52287701,47613395,1667819,0.0318969655980859,6242228,0.168142103278525,861554,2271451,29683416,30882489,7355673
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//RBM10_G4_splicelib_2_S20_umi_dedup_fine_grained_idx.csv,RBM10_G4_splicelib_2_S20_umi_dedup_fine_grained_idx.csv,RBM10_G4_splicelib_2_S20,RBM10_G4,rep2,rep2,RBM10_G4-rep2,54065063,49189758,1717408,0.0317655784475827,6502189,0.168597337888596,880419,2275965,30819733,32064191,7466994
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//RBM5_A2_splicelib_1_S1_umi_dedup_fine_grained_idx.csv,RBM5_A2_splicelib_1_S1_umi_dedup_fine_grained_idx.csv,RBM5_A2_splicelib_1_S1,RBM5_A2,rep1,rep1,RBM5_A2-rep1,66050684,60350376,2150171,0.032553349485374,7700290,0.172018412157392,1292316,3902238,35445243,37064046,10391486
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//RBM5_A2_splicelib_2_S2_umi_dedup_fine_grained_idx.csv,RBM5_A2_splicelib_2_S2_umi_dedup_fine_grained_idx.csv,RBM5_A2_splicelib_2_S2,RBM5_A2,rep2,rep2,RBM5_A2-rep2,58027726,53095464,1856756,0.0319977384604042,6877405,0.169986577363017,1138225,3228832,32186025,33581113,8269889
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//RBM5_A3_splicelib_1_S3_umi_dedup_fine_grained_idx.csv,RBM5_A3_splicelib_1_S3_umi_dedup_fine_grained_idx.csv,RBM5_A3_splicelib_1_S3,RBM5_A3,rep1,rep1,RBM5_A3-rep1,63278587,57526853,2016682,0.0318698962099138,7500056,0.167065006067756,1102754,3354428,35920499,37392984,8176631
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//RBM5_A3_splicelib_2_S4_umi_dedup_fine_grained_idx.csv,RBM5_A3_splicelib_2_S4_umi_dedup_fine_grained_idx.csv,RBM5_A3_splicelib_2_S4,RBM5_A3,rep2,rep2,RBM5_A3-rep2,67701618,61616461,2159763,0.0319012021248887,8079616,0.168083803910606,1121568,3652436,38394524,39989358,8773483
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//ZRSR2_F8_splicelib_1_S5_umi_dedup_fine_grained_idx.csv,ZRSR2_F8_splicelib_1_S5_umi_dedup_fine_grained_idx.csv,ZRSR2_F8_splicelib_1_S5,ZRSR2_F8,rep1,rep1,ZRSR2_F8-rep1,48763390,44947929,1582850,0.0324598023230132,5628610,0.167498383970511,698814,2391461,26842924,27975356,8253688
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//ZRSR2_F8_splicelib_2_S6_umi_dedup_fine_grained_idx.csv,ZRSR2_F8_splicelib_2_S6_umi_dedup_fine_grained_idx.csv,ZRSR2_F8_splicelib_2_S6,ZRSR2_F8,rep2,rep2,ZRSR2_F8-rep2,57559908,53000160,1867910,0.0324515807078774,6530290,0.167617651392893,741756,2839116,31080356,32429151,10459847
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//ZRSR2_G9_splicelib_1_S7_umi_dedup_fine_grained_idx.csv,ZRSR2_G9_splicelib_1_S7_umi_dedup_fine_grained_idx.csv,ZRSR2_G9_splicelib_1_S7,ZRSR2_G9,rep1,rep1,ZRSR2_G9-rep1,81221006,74422247,2661029,0.0327628175400832,9395320,0.169502353170002,1130957,3402631,44136422,46033527,14459812
/mnt/dawnccle2/processed_data/reprocess_250221/nova250313//ZRSR2_G9_splicelib_2_S8_umi_dedup_fine_grained_idx.csv,ZRSR2_G9_splicelib_2_S8_umi_dedup_fine_grained_idx.csv,ZRSR2_G9_splicelib_2_S8,ZRSR2_G9,rep2,rep2,ZRSR2_G9-rep2,61718183,56607185,2001648,0.0324320630113171,7120852,0.168940855711167,908044,2567396,33598715,35029118,10981775
