filename,basename,sample,condition,rep_old,rep_new,sample_new,total_reads,total_aligned_reads,bc_not_found,perc_bc_not_found,chimera_reads,perc_chimera_reads,unspliced_counter,minor_splice_counter,perfect_middle_exon,everything_passed_with_middle_exon
U:/processed_data/reprocess_250221/nova240826/IPC298-rep3-A09_S9_umi_dedup_fine_grained_idx.csv,IPC298-rep3-A09_S9_umi_dedup_fine_grained_idx.csv,IPC298-rep3-A09_S9,IPC298,rep3,rep3,IPC298-rep3,37913951,34920686,1270607,0.0335129145469434,4383424,0.184462403650546,496536,1762409,18337933,19379814
U:/processed_data/reprocess_250221/nova240826/Kelly-rep1-A10_S10_umi_dedup_fine_grained_idx.csv,Kelly-rep1-A10_S10_umi_dedup_fine_grained_idx.csv,Kelly-rep1-A10_S10,Kelly,rep1,rep1,Kelly-rep1,24520349,22518547,801398,0.032682976902164,3017077,0.185731837404268,388359,853014,12562122,13227187
U:/processed_data/reprocess_250221/nova240826/Kelly-rep2-A11_S11_umi_dedup_fine_grained_idx.csv,Kelly-rep2-A11_S11_umi_dedup_fine_grained_idx.csv,Kelly-rep2-A11_S11,Kelly,rep2,rep2,Kelly-rep2,29340649,26930737,957008,0.0326171380871636,3614385,0.185740331225965,465524,998214,15049779,15844959
U:/processed_data/reprocess_250221/nova240826/Kelly-rep3-A12_S12_umi_dedup_fine_grained_idx.csv,Kelly-rep3-A12_S12_umi_dedup_fine_grained_idx.csv,Kelly-rep3-A12_S12,Kelly,rep3,rep3,Kelly-rep3,22006158,20211669,718083,0.0326310026493493,2741748,0.186902506318935,358188,785555,11332791,11927654
U:/processed_data/reprocess_250221/nova240826/KMRC1-rep1-B11_S22_umi_dedup_fine_grained_idx.csv,KMRC1-rep1-B11_S22_umi_dedup_fine_grained_idx.csv,KMRC1-rep1-B11_S22,KMRC1,rep1,rep1,KMRC1-rep1,68887787,62999033,2311410,0.0335532624962971,8329210,0.206920947359535,1371822,3770839,29880491,31923892
U:/processed_data/reprocess_250221/nova240826/KMRC1-rep2-B12_S23_umi_dedup_fine_grained_idx.csv,KMRC1-rep2-B12_S23_umi_dedup_fine_grained_idx.csv,KMRC1-rep2-B12_S23,KMRC1,rep2,rep2,KMRC1-rep2,62025610,56788880,2082877,0.0335809192364251,7394540,0.204512193003815,1224725,3370441,26916648,28762424
U:/processed_data/reprocess_250221/nova240826/KMRC1-rep3-C01_S24_umi_dedup_fine_grained_idx.csv,KMRC1-rep3-C01_S24_umi_dedup_fine_grained_idx.csv,KMRC1-rep3-C01_S24,KMRC1,rep3,rep3,KMRC1-rep3,50882389,46476748,1704090,0.0334907623932516,6118909,0.204144464499987,841338,3057776,22342450,23854517
U:/processed_data/reprocess_250221/nova240826/KMRC1-rep4-C02_S25_umi_dedup_fine_grained_idx.csv,KMRC1-rep4-C02_S25_umi_dedup_fine_grained_idx.csv,KMRC1-rep4-C02_S25,KMRC1,rep4,rep1,KMRC1-rep1,34880636,31849288,1165468,0.0334130375375036,3977058,0.198480926894906,866554,2113463,15069087,16060424
U:/processed_data/reprocess_250221/nova240826/KMRC1-rep5-C03_S26_umi_dedup_fine_grained_idx.csv,KMRC1-rep5-C03_S26_umi_dedup_fine_grained_idx.csv,KMRC1-rep5-C03_S26,KMRC1,rep5,rep2,KMRC1-rep2,21521085,19640612,723461,0.0336163813302164,2302837,0.19416996918103,313792,1096386,8939429,9557066
U:/processed_data/reprocess_250221/nova240826/KMRC1-rep6-C04_S27_umi_dedup_fine_grained_idx.csv,KMRC1-rep6-C04_S27_umi_dedup_fine_grained_idx.csv,KMRC1-rep6-C04_S27,KMRC1,rep6,rep3,KMRC1-rep3,38651886,35316487,1295104,0.0335068772582016,4394980,0.199608710645851,1055294,2476176,16528439,17622997
U:/processed_data/reprocess_250221/nova240826/KMRC20-rep1-C05_S28_umi_dedup_fine_grained_idx.csv,KMRC20-rep1-C05_S28_umi_dedup_fine_grained_idx.csv,KMRC20-rep1-C05_S28,KMRC20,rep1,rep1,KMRC20-rep1,32748029,29908477,1091744,0.0333377010262205,3796015,0.179005728962348,560137,1322076,16539331,17410094
U:/processed_data/reprocess_250221/nova240826/KMRC20-rep2-C06_S29_umi_dedup_fine_grained_idx.csv,KMRC20-rep2-C06_S29_umi_dedup_fine_grained_idx.csv,KMRC20-rep2-C06_S29,KMRC20,rep2,rep2,KMRC20-rep2,32404496,29592096,1077250,0.0332438436937887,3759218,0.178491073922167,544146,1338539,16434841,17301880
U:/processed_data/reprocess_250221/nova240826/KMRC20-rep3-C07_S30_umi_dedup_fine_grained_idx.csv,KMRC20-rep3-C07_S30_umi_dedup_fine_grained_idx.csv,KMRC20-rep3-C07_S30,KMRC20,rep3,rep3,KMRC20-rep3,30122457,27508586,994769,0.0330241653262216,3483176,0.177543679119599,495977,1159842,15328269,16135523
U:/processed_data/reprocess_250221/nova240826/KMRC20-rep4-C08_S31_umi_dedup_fine_grained_idx.csv,KMRC20-rep4-C08_S31_umi_dedup_fine_grained_idx.csv,KMRC20-rep4-C08_S31,KMRC20,rep4,rep1,KMRC20-rep1,60356081,55048871,1985624,0.032898491205882,7105352,0.183928214342247,1278944,2479262,29915836,31525763
U:/processed_data/reprocess_250221/nova240826/KMRC20-rep5-C09_S32_umi_dedup_fine_grained_idx.csv,KMRC20-rep5-C09_S32_umi_dedup_fine_grained_idx.csv,KMRC20-rep5-C09_S32,KMRC20,rep5,rep2,KMRC20-rep2,53286912,48695344,1751067,0.0328611085588897,6248507,0.182255192334796,1152574,2181472,26615476,28035877
U:/processed_data/reprocess_250221/nova240826/KMRC20-rep6-C10_S33_umi_dedup_fine_grained_idx.csv,KMRC20-rep6-C10_S33_umi_dedup_fine_grained_idx.csv,KMRC20-rep6-C10_S33,KMRC20,rep6,rep3,KMRC20-rep3,55888171,51072376,1851851,0.033134936550348,6585550,0.183145400408621,1190239,2302529,27888494,29372492
U:/processed_data/reprocess_250221/nova240826/MUT-plx-LacZ-rep1-D07_S40_umi_dedup_fine_grained_idx.csv,MUT-plx-LacZ-rep1-D07_S40_umi_dedup_fine_grained_idx.csv,MUT-plx-LacZ-rep1-D07_S40,MUT-plx-LacZ,rep1,rep1,MUT-plx-LacZ-rep1,37297570,34701377,1226669,0.0328887109803668,3902372,0.176301006310812,657712,1143578,17422205,18232340
U:/processed_data/reprocess_250221/nova240826/MUT-plx-LacZ-rep2-D08_S41_umi_dedup_fine_grained_idx.csv,MUT-plx-LacZ-rep2-D08_S41_umi_dedup_fine_grained_idx.csv,MUT-plx-LacZ-rep2-D08_S41,MUT-plx-LacZ,rep2,rep2,MUT-plx-LacZ-rep2,32831627,30626796,1078880,0.0328609971111088,3401028,0.177010966730592,435394,905316,15109894,15812629
U:/processed_data/reprocess_250221/nova240826/MUT-plx-LacZ-rep3-D09_S42_umi_dedup_fine_grained_idx.csv,MUT-plx-LacZ-rep3-D09_S42_umi_dedup_fine_grained_idx.csv,MUT-plx-LacZ-rep3-D09_S42,MUT-plx-LacZ,rep3,rep3,MUT-plx-LacZ-rep3,26823194,25013630,884011,0.0329569625451764,2789000,0.178897623734102,422572,791383,12232769,12800922
U:/processed_data/reprocess_250221/nova240826/MUT-plx317_U2AF1_Q157A-rep1-D01_S34_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_Q157A-rep1-D01_S34_umi_dedup_fine_grained_idx.csv,MUT-plx317_U2AF1_Q157A-rep1-D01_S34,MUT-plx317_U2AF1_Q157A,rep1,rep1,MUT-plx317_U2AF1_Q157A-rep1,34349494,31997761,1130944,0.032924618918695,3657518,0.177646985339424,486588,1143016,16171489,16931168
