769P-rep1,769P-rep2,769P-rep3,786O-rep1,786O-rep2,786O-rep3,8MGBA-rep1,8MGBA-rep2,8MGBA-rep3,A172-rep1,A172-rep2,A172-rep3,A375-rep1,A375-rep2,A375-rep3,ACHN-rep1,ACHN-rep2,ACHN-rep3,CAL120-rep1,CAL120-rep2,CAL120-rep3,COGN278-rep1,COGN278-rep2,COGN278-rep3,COLO783-rep1,COLO783-rep2,COLO783-rep3,DAOY-rep1,DAOY-rep2,DAOY-rep3,DBTRG05MG-rep1,DBTRG05MG-rep2,DBTRG05MG-rep3,EFO27-rep1,EFO27-rep2,EFO27-rep3,GAMG-rep1,GAMG-rep2,GAMG-rep3,GB1-rep1,GB1-rep2,GB1-rep3,GI1-rep1,GI1-rep2,GI1-rep3,HCC1428-rep1,HCC1428-rep2,HCC1428-rep3,HCC38-rep1,HCC38-rep2,HCC38-rep3,HEK-rep1,HEK-rep2,HEK-rep3,IGR37-rep1,IGR37-rep2,IGR37-rep3,IPC298-rep1,IPC298-rep2,IPC298-rep3,JHH6-rep1,JHH6-rep2,JHH6-rep3,K562-rep1,K562-rep2,K562-rep3,Kelly-rep1,Kelly-rep2,Kelly-rep3,KMRC1-rep1,KMRC1-rep2,KMRC1-rep3,KMRC20-rep1,KMRC20-rep2,KMRC20-rep3,MCF7-rep1,MCF7-rep2,MCF7-rep3,MDAMB231-rep1,MDAMB231-rep2,MDAMB231-rep3,MEL202-rep1,MEL202-rep2,MEL202-rep3,MELHO-rep1,MELHO-rep2,MELHO-rep3,MeWo-rep1,MeWo-rep2,MeWo-rep3,OC314-rep1,OC314-rep2,OC314-rep3,OC316-rep1,OC316-rep2,OC316-rep3,PLCPRF5-rep1,PLCPRF5-rep2,PLCPRF5-rep3,SF126-rep1,SF126-rep2,SF126-rep3,SKNAS-rep1,SKNAS-rep2,SKNAS-rep3,SNU398-rep1,SNU398-rep2,SNU398-rep3,SNU423-rep1,SNU423-rep2,SNU423-rep3,SNU449-rep1,SNU449-rep2,SNU449-rep3,SNUC4-rep1,SNUC4-rep2,SNUC4-rep3,T47D-rep1,T47D-rep2,T47D-rep3,TOV21G-rep1,TOV21G-rep2,TOV21G-rep3,U251MG-rep1,U251MG-rep2,U251MG-rep3,VMRCRCZ-rep1,VMRCRCZ-rep2,VMRCRCZ-rep3
1,NA,NA,0.9774436090225563,1,0.9019607843137255,1,1,1,0.9661016949152542,0.9884393063583815,0.9578947368421052,0.6774193548387096,0.63,0.6525679758308157,1,1,1,0.9043478260869565,1,1,0.9863013698630136,1,1,1,0.71875,0.78125,0.47058823529411764,1,1,1,0.9333333333333333,0.9607843137254902,1,1,1,1,1,1,1,0.9743589743589743,1,1,1,1,1,1,0.9846153846153847,0.9957446808510638,1,1,0.8273572377158035,0.8338907469342252,0.7656641604010025,0.903954802259887,0.9166666666666666,0.9150326797385621,1,1,0.9785276073619632,1,1,1,1,1,1,1,1,0.9983974358974359,0.9652777777777778,0.9579158316633266,1,0.9814814814814815,1,1,0.9769230769230769,1,1,1,0.9692307692307692,0.9705882352941176,1,1,1,1,1,1,0.98,1,1,1,1,0.9642857142857143,1,1,1,0.9791666666666666,1,0.98,1,1,1,0.9880952380952381,0.9783080260303688,0.9815789473684211,1,1,1,NA,1,1,1,0.6666666666666666,0.8478260869565217,1,1,1,1,1,1,1,1,0.9818181818181818,0.8860103626943006,0.9074074074074074,0.8598726114649682,1,1,1
0.06666666666666667,NA,NA,0.3181818181818182,0.38461538461538464,0.37037037037037035,0.13793103448275862,0.20441988950276244,0.1522633744855967,0.061224489795918366,0.13,0,0.0821917808219178,0.096,0.09282700421940929,0.23163841807909605,0.3140495867768595,0.3026315789473684,0.3469387755102041,0.14705882352941177,0.11363636363636363,0.2978723404255319,0.19402985074626866,0.19230769230769232,1,NA,0.24096385542168675,0,0.03125,NA,0.08571428571428572,NA,NA,0.21951219512195122,0.14545454545454545,0.15151515151515152,0.3387096774193548,0.35294117647058826,0.1956521739130435,0.03125,0.1509433962264151,0.018518518518518517,0.3111111111111111,0.4117647058823529,0.3974358974358974,0.0707070707070707,0.13924050632911392,0.14,0.01818181818181818,0.047619047619047616,0.030612244897959183,0.1553398058252427,0.16152716593245228,0.1532033426183844,0.05357142857142857,0.04736842105263158,0.08139534883720931,0.3324742268041237,0.32265446224256294,0.2595419847328244,0.13636363636363635,0.24675324675324675,0.14285714285714285,0.3333333333333333,0.47368421052631576,0.44642857142857145,0.3375796178343949,0.2851985559566787,0.2943396226415094,0.11375661375661375,0.11437908496732026,0.1736111111111111,0.3263157894736842,0.2696629213483146,0.39473684210526316,0.31958762886597936,0.3853211009174312,0.24299065420560748,0.1935483870967742,0.14516129032258066,0.10869565217391304,0.1803921568627451,0.1320754716981132,0.21610169491525424,0.1917808219178082,0.20134228187919462,0.1830065359477124,0.04878048780487805,0.125,0.04861111111111111,0.18085106382978725,0.2653061224489796,0.2391304347826087,0.2558139534883721,0.23863636363636365,0.23728813559322035,0.21428571428571427,0.37142857142857144,0.25862068965517243,0.24390243902439024,NA,0.18181818181818182,0.08333333333333333,0.12307692307692308,0.11764705882352941,0.04081632653061224,0.1111111111111111,0.06451612903225806,NA,0.030303030303030304,0.07575757575757576,0.19696969696969696,0.04081632653061224,0.05263157894736842,0.24691358024691357,0.1728395061728395,0.12222222222222222,0.0425531914893617,0.03723404255319149,0.03579952267303103,0.09316770186335403,0.12,0.0913978494623656,0.2616822429906542,0.26666666666666666,0.21686746987951808,0.09375,0.17777777777777778,NA
1,0.6875,0.890625,0.9875621890547264,1,1,0.9704301075268817,0.97375,0.9810785241248817,0.8364611260053619,0.8282548476454293,0.7967479674796748,0.8425925925925926,0.8069815195071869,0.8371040723981901,1,1,1,0.8974358974358975,0.9845360824742269,0.83125,1,1,1,0.9090909090909091,0.9927797833935018,1,0.9887640449438202,0.9468599033816425,1,0.7696629213483146,0.9344262295081968,0.9299363057324841,0.9402654867256637,0.9044368600682594,0.9313984168865436,0.9764705882352941,0.9686520376175548,0.9973753280839895,0.9686411149825784,0.9726443768996961,0.9636363636363636,1,1,1,0.8974789915966387,0.8710601719197708,0.85553772070626,0.5934959349593496,0.5966386554621849,0.537117903930131,0.8717616580310881,0.853110599078341,0.8810232004759072,0.8092835519677094,0.7858002406738869,0.8094059405940595,1,1,1,0.948220064724919,0.9210526315789473,0.9194499017681729,1,0.9798657718120806,1,1,1,1,0.9905610907184059,0.9940828402366864,0.9846153846153847,1,0.9984917043740573,0.9917763157894737,0.9654427645788337,0.9918367346938776,0.9705426356589147,1,0.9841269841269841,1,1,1,1,0.9335347432024169,0.9134524929444967,0.9653333333333334,0.8827893175074184,0.850546780072904,0.8642765685019206,0.9246813441483198,0.9842342342342343,0.9171779141104295,0.9868913857677902,0.9322033898305084,0.9942307692307693,0.8691275167785235,0.9307692307692308,0.8409090909090909,1,1,0.9936708860759493,0.975867269984917,0.9754901960784313,0.9790055248618784,0.960431654676259,0.9885057471264368,1,0.872093023255814,0.9763779527559056,0.9427083333333334,0.9253112033195021,0.8581314878892734,0.9219219219219219,0.9762931034482759,0.9899497487437185,0.975609756097561,0.8697183098591549,0.8619528619528619,0.8576589595375722,0.9416983523447402,0.9315849486887116,0.9645030425963489,0.9266467065868264,0.8618042226487524,0.8984198645598194,0.9049429657794676,0.9661016949152542,0.96
0.9423076923076923,0.984375,0.859375,1,1,1,0.9381720430107527,0.9584295612009238,0.9695885509838998,0.7916666666666666,0.9530685920577617,0.9067796610169492,0.5180722891566265,0.5648854961832062,0.5756756756756757,1,0.9676375404530745,0.995049504950495,1,0.9891304347826086,1,1,1,1,1,1,0.9476439790575916,1,0.9787234042553191,1,0.8804347826086957,0.8727272727272727,0.9818181818181818,0.9767441860465116,0.9056603773584906,0.815028901734104,0.967741935483871,1,0.9451219512195121,0.9090909090909091,0.9351851851851852,0.9354838709677419,1,1,1,0.9916434540389972,0.9702970297029703,0.9305555555555556,0.9796954314720813,0.875,0.9787234042553191,0.7911318553092183,0.8526522593320236,0.778372591006424,0.9185606060606061,0.9032967032967033,0.8768898488120951,1,1,0.9957203994293866,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9866220735785953,0.9882697947214076,0.8444444444444444,0.9772727272727273,0.8975069252077562,1,1,0.976,1,1,1,0.9904761904761905,0.9830917874396136,0.9737827715355806,1,1,1,0.9351351351351351,1,1,1,1,1,0.90625,1,0.9703703703703703,1,1,1,0.9901639344262295,0.9906542056074766,0.9781420765027322,1,1,1,1,0.9387755102040817,0.863013698630137,1,0.9481481481481482,1,0.9439655172413793,1,0.9508928571428571,0.9152542372881356,0.9227586206896552,0.8883048620236531,0.937046004842615,1,0.9858299595141701,0.8776119402985074,0.9015748031496063,0.9128787878787878,1,1,0.9692307692307692
0.07017543859649122,0.17105263157894737,0.08571428571428572,0.06321839080459771,0.07482993197278912,0.1419753086419753,0.4746987951807229,0.3815789473684211,0.3723776223776224,0.5266903914590747,0.5976331360946746,0.5255474452554745,0.06651376146788991,0.057971014492753624,0.07386363636363637,0.1942675159235669,0.21180555555555555,0.2028169014084507,0.3146067415730337,0.16346153846153846,0.21052631578947367,0,0.026455026455026454,0.047619047619047616,0,0.11158798283261803,0.04938271604938271,0.08333333333333333,0.06666666666666667,0.14285714285714285,0.17142857142857143,0.19444444444444445,0.2,0.28444444444444444,0.1781609195402299,0.22666666666666666,0.26907630522088355,0.3532934131736527,0.2576419213973799,0.31718061674008813,0.286231884057971,0.30303030303030304,0.075,0.10465116279069768,0.11764705882352941,0.11317567567567567,0.08746355685131195,0.1539961013645224,0.21611721611721613,0.1993006993006993,0.23348017621145375,0.011650485436893204,0.008185053380782919,0.008468335787923416,0.05251875669882101,0.05190989226248776,0.04501607717041801,0.11661166116611661,0.12219451371571072,0.12399355877616747,0.2898550724637681,0.33840304182509506,0.25092250922509224,0.058823529411764705,0.03220035778175313,0.07746478873239436,0.03225806451612903,0.01900739176346357,0.030683403068340307,0.22660944206008585,0.24921135646687698,0.2222222222222222,0.08445945945945946,0.10355987055016182,0.054474708171206226,0.06796116504854369,0.0957683741648107,0.06368330464716007,0.2169811320754717,0.2323529411764706,0.1902654867256637,0.05763239875389408,0.05623100303951368,0.0338680926916221,0.007547169811320755,0.019280205655526992,0.014138817480719794,0.07201086956521739,0.0730816077953715,0.06888068880688807,0.1643192488262911,0.12534059945504086,0.18454935622317598,0.1651376146788991,0.17349397590361446,0.1649214659685864,0.060240963855421686,0.1497005988023952,0.11458333333333333,0.13533834586466165,0.1962025316455696,0.125,0.21561338289962825,0.23333333333333334,0.27702702702702703,0.15789473684210525,0.03333333333333333,0.02857142857142857,0.5483870967741935,0.48333333333333334,0.6585365853658537,0.0625,0.08648648648648649,0.06986899563318777,0.10486891385767791,0.11666666666666667,0.09016393442622951,0.4841101694915254,0.46062992125984253,0.47988223748773307,0.06312769010043041,0.0740242261103634,0.0642939150401837,0.09175738724727839,0.08689024390243902,0.06765327695560254,0.35294117647058826,0.37799043062200954,0.292817679558011
0.8823529411764706,0.9078947368421053,0.851063829787234,1,1,1,0.96125,0.9681456200227532,0.9567956795679567,0.5601659751037344,0.5757575757575758,0.5263157894736842,0.8955223880597015,0.9068825910931174,0.8930348258706468,1,1,1,0.9216417910447762,0.8947368421052632,0.9166666666666666,1,1,1,1,0.7785977859778598,0.6293103448275862,0.9230769230769231,1,0.9510869565217391,0.7782426778242678,0.7054794520547946,0.7816901408450704,0.9318181818181818,0.972972972972973,0.9822335025380711,0.9291784702549575,0.949438202247191,0.956386292834891,0.8837209302325582,0.848605577689243,0.8341232227488151,1,1,1,0.9355783308931186,0.9428571428571428,0.9638297872340426,0.7453125,0.6955128205128205,0.7271293375394322,1,1,1,0.8683693516699411,0.8800988875154512,0.8941798941798942,1,1,0.9977578475336323,0.967741935483871,0.8944954128440367,0.8968253968253969,1,1,1,1,1,1,0.969790382244143,0.9806451612903225,0.9900306748466258,1,1,1,0.997275204359673,0.9713024282560706,0.9396378269617707,0.8214285714285714,0.7645348837209303,0.8947368421052632,1,0.999117387466902,1,0.9229287090558767,0.9485570890840652,1,0.9512987012987013,0.9421593830334191,0.956989247311828,0.976027397260274,1,1,1,1,1,0.9586466165413534,0.8931297709923665,0.8921568627450981,1,1,1,0.9606512890094979,0.9707652622527945,0.9746059544658494,1,1,1,0.8514851485148515,0.9344262295081968,0.9245283018867925,0.8934010152284264,0.9439655172413793,0.990521327014218,0.953125,0.9211356466876972,1,0.5850622406639004,0.5640636846095527,0.574313408723748,1,1,1,0.9803600654664485,1,1,0.9790940766550522,0.8916083916083916,0.9367088607594937
0.96875,0.9444444444444444,0.9607843137254902,0.9557522123893806,0.9875,0.9811320754716981,0.9664804469273743,0.9676945668135095,0.9722543352601156,1,1,1,0.5877862595419847,0.5751789976133651,0.5336976320582878,0.8976982097186701,0.9522388059701492,0.8791469194312796,0.9543726235741445,0.873015873015873,0.9225806451612903,0.924812030075188,0.9575163398692811,0.944206008583691,0.774869109947644,0.9747899159663865,1,0.9864864864864865,0.9885714285714285,0.975,0.967741935483871,1,0.9921875,0.9635761589403974,0.9386792452830188,0.9514925373134329,1,1,1,0.9005847953216374,1,0.967741935483871,1,1,0.9954545454545455,0.9741379310344828,0.9854227405247813,0.99,1,1,1,0.8706438275251034,0.8670664667666167,0.8271276595744681,0.9791208791208791,0.9457259158751696,0.9810055865921787,0.9905362776025236,1,0.9938208032955715,1,1,1,0.9680851063829787,0.9290322580645162,0.9181286549707602,0.8651275820170109,0.8661327231121282,0.9283854166666666,1,1,0.9989847715736041,0.9891304347826086,0.9776119402985075,0.9648648648648649,1,1,1,1,0.9938837920489296,0.9545454545454546,1,0.9878493317132442,1,0.8886010362694301,0.9294605809128631,0.9289520426287744,1,1,1,0.9686028257456829,0.9488817891373802,0.9090909090909091,1,0.9868766404199475,1,1,0.9267015706806283,1,1,1,1,0.8989637305699482,0.8795411089866156,0.88,0.9782608695652174,0.8928571428571429,1,1,0.9385964912280702,0.9769230769230769,0.9072847682119205,0.9259259259259259,0.8842975206611571,0.8803986710963455,0.9450171821305842,0.9705882352941176,1,1,1,0.9637462235649547,0.969626168224299,0.959748427672956,1,0.951417004048583,0.9367088607594937,0.9519650655021834,0.984375,0.9597989949748744
0.9122807017543859,0.7592592592592593,0.7391304347826086,1,1,1,1,1,1,0.756578947368421,0.5942857142857143,0.6545454545454545,0.9653846153846154,0.9764397905759162,0.9525691699604744,1,1,1,1,1,1,1,1,1,1,0.9494949494949495,0.9459459459459459,0.9607843137254902,1,0.7808219178082192,0.9512195121951219,0.9090909090909091,0.9489795918367347,1,0.9872881355932204,0.9886363636363636,1,0.9016393442622951,0.9365079365079365,0.8625,0.9213483146067416,0.8674698795180723,1,1,1,1,0.9541666666666667,1,0.936231884057971,0.8758169934640523,0.9700598802395209,0.9569266589057043,0.9646365422396856,0.9706498951781971,0.9936808846761453,1,0.9686847599164927,0.9854545454545455,0.9891304347826086,0.9695238095238096,1,1,1,0.9801324503311258,1,1,0.9867197875166003,1,1,0.9637362637362638,0.9656652360515021,0.9666203059805285,0.9953703703703703,0.9936708860759493,0.9923664122137404,1,1,1,1,1,0.9743589743589743,1,1,0.9975728155339806,1,1,1,1,1,1,1,0.9846625766871165,1,1,0.9708029197080292,1,0.923469387755102,0.9141414141414141,0.9130434782608695,1,1,1,1,1,0.9923809523809524,1,1,1,1,0.9295774647887324,0.9838709677419355,0.9940828402366864,1,1,1,1,1,0.7831149927219796,0.7869458128078818,0.7722063037249284,0.9922178988326849,1,0.9843205574912892,0.9228971962616822,0.9797101449275363,0.9760956175298805,0.9545454545454546,0.8579881656804734,0.940677966101695
0.9733333333333334,0.9166666666666666,0.989010989010989,1,1,0.9882005899705014,0.9452054794520548,0.9506984387838948,0.9339143064633261,0.7638190954773869,0.7228464419475655,0.7175925925925926,0.9947275922671354,0.9741379310344828,0.9948892674616695,1,1,1,0.9684813753581661,0.9674418604651163,0.8925619834710744,1,1,1,0.802660753880266,1,0.8995215311004785,1,1,1,0.8435114503816794,0.9722222222222222,0.84375,0.9682875264270613,0.9882697947214076,0.9438444924406048,0.9844155844155844,0.9746835443037974,0.979746835443038,0.8514492753623188,0.9265822784810127,0.9007633587786259,1,1,1,1,1,1,0.7840909090909091,0.7434944237918215,0.7921727395411606,1,1,1,0.921644685802948,0.9168877099911583,0.9233937397034596,1,1,1,0.917910447761194,0.985239852398524,0.9701149425287356,1,1,1,1,1,1,0.9645808736717828,0.9601181683899557,0.9708955223880597,1,1,1,1,1,1,1,0.9914383561643836,0.9726775956284153,0.9951980792316927,0.9933649289099526,0.993734335839599,1,1,1,1,1,1,1,1,1,1,1,1,0.9584569732937686,0.9924433249370277,1,1,1,1,0.9694148936170213,0.9648535564853556,0.957487922705314,1,1,1,0.9181818181818182,0.85,0.8594594594594595,0.9885496183206107,1,0.9760191846522782,1,1,1,0.6826014452473597,0.6646136618141097,0.7032418952618454,1,1,1,1,1,1,1,0.9355932203389831,0.9125874125874126
0.8666666666666667,0.9076923076923077,0.7777777777777778,1,1,1,0.9644970414201184,1,0.9943502824858758,0.5459770114942529,0.6101083032490975,0.6159420289855072,0.9541984732824428,0.9561200923787528,0.9586330935251799,1,1,1,1,1,0.8876404494382022,1,1,1,1,1,0.8080808080808081,1,0.9567901234567902,1,0.9035087719298246,1,1,1,1,1,0.9869565217391304,1,1,1,1,0.9709302325581395,1,1,1,1,1,0.9963235294117647,0.6130952380952381,0.563265306122449,0.6570048309178744,0.9336941813261164,0.9495412844036697,0.976592977893368,0.8843338213762811,0.9047619047619048,0.9215686274509803,1,1,1,1,0.9127725856697819,0.9191176470588235,1,1,1,1,1,1,1,1,1,1,0.9978991596638656,1,0.9970414201183432,0.9284009546539379,0.8811659192825112,0.5311004784688995,0.6256983240223464,0.6847290640394089,1,1,1,0.9134199134199135,0.8909574468085106,0.9116915422885572,0.7905844155844156,0.8315217391304348,0.8341793570219966,1,1,1,1,1,1,0.8781725888324873,0.9659090909090909,0.9605263157894737,1,1,1,1,1,1,1,1,1,1,1,0.9642857142857143,0.8333333333333334,0.9273743016759777,0.868,1,1,1,0.762778505897772,0.7939317319848294,0.792258064516129,1,1,1,0.992467043314501,0.9559902200488998,1,1,1,0.9801324503311258
